Performing initial speed check (None compression)...

Performing Avro speed check with all compressors...

Running benchmarks...
ID                             | Ratio (%)  | Speed      | Ser+Comp   | De+Deser   | Status    
BurntSushiTOML/Zstd/len=100 | 46.99      | 3.57       | 6.81       | 7.50       | OK        
EasyJSON/GozstdFastest/len=100 | 46.99      | 65.48      | 152.13     | 114.97     | OK        
CBORCanonical/Pzip/len=100 | 46.99      | 6.29       | 12.43      | 12.73      | OK        
EasyJSON/DataDogZstdFastest/len=100 | 46.99      | 70.59      | 167.57     | 121.97     | OK        
XML/Gzip/len=100          | 46.99      | 5.96       | 17.71      | 8.98       | OK        
GoccyYAML/DataDogZstdFastest/len=100 | 46.99      | 1.97       | 4.17       | 3.74       | OK        
Msgp/Flate/len=100        | 46.99      | 27.61      | 36.47      | 113.61     | OK        
Bencode/XZ/len=100        | 46.99      | 0.89       | 1.16       | 3.82       | OK        
GoccyYAML/GozstdFastest/len=100 | 46.99      | 2.00       | 4.24       | 3.80       | OK        
CBORCanonical/DataDogZstd/len=100 | 46.99      | 36.34      | 57.49      | 98.78      | OK        
CBORCanonical/Gzip/len=100 | 46.99      | 20.31      | 29.55      | 64.92      | OK        
GoccyJSON/GozstdFastest/len=100 | 46.99      | 48.41      | 96.41      | 97.24      | OK        
JSON/GozstdFastest/len=100 | 46.99      | 26.73      | 60.74      | 47.74      | OK        
GoccyYAML/ZstdFastest/len=100 | 46.99      | 1.91       | 4.02       | 3.64       | OK        
GoccyYAML/Bzip2/len=100   | 46.99      | 1.29       | 2.24       | 3.02       | OK        
JsonIterFastest/Bzip2/len=100 | 46.99      | 3.81       | 4.81       | 18.39      | OK        
Msgp/ZstdBest/len=100     | 46.99      | 27.58      | 31.56      | 218.67     | OK        
JsonIterFastest/Gozstd/len=100 | 46.99      | 41.92      | 114.45     | 66.14      | OK        
MsgPack/Flate/len=100     | 46.99      | 21.87      | 31.75      | 70.27      | OK        
GoccyJSON/DataDogZstdFastest/len=100 | 46.99      | 47.81      | 91.56      | 100.08     | OK        
GoccyYAML/Zstd/len=100    | 46.99      | 1.75       | 3.50       | 3.51       | OK        
YAML/Bzip2/len=100        | 46.99      | 1.94       | 3.02       | 5.47       | OK        
JsonIterFastest/GozstdFastest/len=100 | 46.99      | 50.39      | 151.86     | 75.41      | OK        
JSON/DataDogZstdFastest/len=100 | 46.99      | 26.64      | 61.23      | 47.15      | OK        
TOML/DataDogZstdFastest/len=100 | 48.19      | 12.41      | 18.09      | 39.57      | OK        
CBOR/Zstd/len=100         | 48.19      | 16.86      | 22.32      | 68.86      | OK        
Msgp/Gozstd/len=100       | 48.19      | 102.49     | 167.22     | 264.76     | OK        
TOML/GozstdFastest/len=100 | 48.19      | 12.39      | 18.09      | 39.33      | OK        
CBORCanonical/Gozstd/len=100 | 48.19      | 60.25      | 140.37     | 105.56     | OK        
SegmentioJSON/ZstdFastest/len=100 | 48.19      | 17.96      | 33.66      | 38.51      | OK        
TOML/ZstdFastest/len=100  | 48.19      | 12.08      | 17.79      | 37.61      | OK        
JSON/ZstdFastest/len=100  | 48.19      | 24.72      | 54.33      | 45.34      | OK        
CBORCanonical/Zstd/len=100 | 48.19      | 16.86      | 22.92      | 63.69      | OK        
GoccyJSON/ZstdFastest/len=100 | 48.19      | 35.58      | 66.97      | 75.93      | OK        
BurntSushiTOML/ZstdFastest/len=100 | 48.19      | 4.23       | 9.51       | 7.64       | OK        
GoAvro/Bzip2/len=100      | 48.19      | 3.87       | 5.58       | 12.66      | OK        
UgorjiSimple/DataDogZstd/len=100 | 48.19      | 42.75      | 59.95      | 149.03     | OK        
BurntSushiTOML/GozstdFastest/len=100 | 48.19      | 4.54       | 10.33      | 8.10       | OK        
Avro/Bzip2/len=100        | 48.19      | 5.77       | 7.10       | 30.79      | OK        
JsonIterFastest/ZstdFastest/len=100 | 48.19      | 41.76      | 111.17     | 66.89      | OK        
BurntSushiTOML/DataDogZstdFastest/len=100 | 48.19      | 4.34       | 9.63       | 7.91       | OK        
ShamatonMsgPack/Gzip/len=100 | 48.19      | 20.95      | 27.35      | 89.46      | OK        
ShamatonMsgPack/Pzip/len=100 | 48.19      | 6.41       | 12.06      | 13.68      | OK        
ShamatonMsgPack/Zlib/len=100 | 48.19      | 23.25      | 32.86      | 79.52      | OK        
ShamatonMsgPack/Zstd/len=100 | 48.19      | 18.23      | 22.04      | 105.47     | OK        
MsgPack/Gzip/len=100      | 48.19      | 20.78      | 28.74      | 75.08      | OK        
MsgPack/Pzip/len=100      | 48.19      | 6.52       | 12.59      | 13.51      | OK        
MsgPack/Zlib/len=100      | 48.19      | 21.20      | 31.11      | 66.60      | OK        
YAML/Gozstd/len=100       | 48.19      | 3.75       | 7.63       | 7.36       | OK        
